# Freiraum-Messung des XBandAbsorbers mit 15 und 150 Ohm Widerstaenden
# f [GHz], Re(S11), Im(S11), Re(S21), Im(S21)
5.64, -0.30941, 0.26201, -5.82021E-4, -8.43258E-4
5.64813, -0.3131, 0.26153, -9.0366E-4, 2.70555E-4
5.65625, -0.3143, 0.26088, 2.23023E-4, 0.00194
5.66437, -0.31378, 0.26072, 0.00147, 0.00179
5.6725, -0.3124, 0.25989, 0.00294, 8.57135E-4
5.68063, -0.31077, 0.258, 0.0032, -3.56824E-4
5.68875, -0.31059, 0.25453, 0.00264, -0.0014
5.69688, -0.31192, 0.25169, 0.00216, -0.002
5.705, -0.31353, 0.25067, 0.0021, -0.00189
5.71312, -0.3156, 0.25022, 0.00135, -0.00237
5.72125, -0.31339, 0.24789, 8.9778E-4, -0.00251
5.72938, -0.31231, 0.24289, 1.49413E-4, -0.00251
5.7375, -0.31562, 0.23805, -2.94414E-4, -0.00195
5.74563, -0.32096, 0.23623, 2.14785E-4, -9.93826E-4
5.75375, -0.32403, 0.238, 8.57443E-4, -0.0016
5.76187, -0.32437, 0.24265, 1.90624E-4, -0.00221
5.77, -0.32223, 0.24373, -3.07943E-4, -0.00177
5.77813, -0.31859, 0.24219, -7.49978E-4, -9.88039E-4
5.78625, -0.31667, 0.23831, -1.99946E-4, -1.00527E-4
5.79438, -0.31735, 0.2336, 7.15046E-4, -3.6196E-4
5.8025, -0.31949, 0.23067, 0.00141, -8.25531E-4
5.81062, -0.32266, 0.23037, 0.00139, -0.00215
5.81875, -0.32276, 0.2323, 7.93738E-4, -0.00234
5.82688, -0.32199, 0.23259, 1.26816E-5, -0.00268
5.835, -0.31953, 0.23007, -0.00106, -0.00179
5.84312, -0.31997, 0.22543, -9.17014E-4, -9.83476E-4
5.85125, -0.32192, 0.22177, -3.20071E-4, -8.98213E-4
5.85938, -0.32593, 0.22008, -2.7086E-4, -7.53653E-4
5.8675, -0.32911, 0.22047, 3.44721E-4, -0.00117
5.87563, -0.33002, 0.22127, 4.78285E-4, -0.00143
5.88375, -0.32852, 0.2211, -2.91702E-4, -0.00182
5.89187, -0.32679, 0.2209, -5.42529E-4, -0.00167
5.9, -0.32587, 0.21761, -8.77845E-4, -0.00177
5.90813, -0.32748, 0.21408, -0.00131, -9.91287E-4
5.91625, -0.33007, 0.21318, -0.00127, 7.48791E-6
5.92437, -0.33136, 0.21412, -4.43351E-4, 5.12702E-4
5.9325, -0.32982, 0.21516, 1.96982E-4, 1.51037E-4
5.94062, -0.33051, 0.21123, 0.00107, -5.43954E-4
5.94875, -0.33136, 0.20585, 7.48451E-4, -0.00102
5.95688, -0.33482, 0.20316, 3.04615E-4, -9.97721E-4
5.965, -0.33923, 0.20511, 2.87714E-4, -0.00107
5.97312, -0.34261, 0.20844, -9.34992E-5, -0.00114
5.98125, -0.34169, 0.21139, 1.50484E-5, -9.24615E-4
5.98937, -0.33883, 0.21175, 9.4014E-5, -8.52965E-4
5.9975, -0.33571, 0.20945, 9.28055E-5, -7.3565E-4
6.00563, -0.3349, 0.20638, 6.51801E-4, -7.76382E-4
6.01375, -0.3364, 0.20437, 0.00104, -0.00172
6.02187, -0.33796, 0.20411, 4.39243E-4, -0.00249
6.03, -0.33768, 0.20425, -5.73789E-4, -0.00254
6.03813, -0.33583, 0.20383, -0.00117, -0.002
6.04625, -0.33646, 0.20156, -0.00149, -8.5162E-4
6.05438, -0.33719, 0.19737, -7.67014E-4, -9.7413E-4
6.0625, -0.33866, 0.19287, -9.14704E-4, -0.00121
6.07062, -0.34048, 0.19095, -6.07287E-4, -0.00138
6.07875, -0.34462, 0.19359, -8.9148E-4, -0.00114
6.08688, -0.34716, 0.19416, -9.74169E-4, -0.00109
6.095, -0.34772, 0.1951, -0.00128, -5.75084E-4
6.10313, -0.34561, 0.19568, -9.81349E-4, -6.63596E-4
6.11125, -0.34385, 0.19472, -0.0013, 1.39273E-4
6.11937, -0.3437, 0.19223, -0.00112, 8.00008E-4
6.1275, -0.34621, 0.19061, -1.76221E-4, 6.34038E-4
6.13563, -0.34783, 0.19065, 3.71187E-4, 1.05479E-4
6.14375, -0.34695, 0.19148, 8.88599E-5, -4.26453E-4
6.15188, -0.34681, 0.19119, 1.46185E-4, -5.21797E-4
6.16, -0.35037, 0.18667, -1.99502E-4, -3.55218E-4
6.16812, -0.35172, 0.18411, 2.34749E-4, 1.12538E-4
6.17625, -0.3543, 0.18296, 2.69679E-4, -6.18983E-4
6.18438, -0.35605, 0.18569, 1.63997E-4, -8.20269E-4
6.1925, -0.35682, 0.1904, -7.71383E-5, -9.07849E-4
6.20062, -0.35558, 0.19236, 4.37669E-5, -8.75889E-4
6.20875, -0.35176, 0.19096, -5.89247E-4, -0.00106
6.21687, -0.35018, 0.18832, -0.00101, -8.29296E-4
6.225, -0.35071, 0.18412, -9.53158E-4, -4.91388E-4
6.23313, -0.35433, 0.18357, -8.14306E-4, 5.44695E-5
6.24125, -0.35561, 0.18622, -4.07729E-4, 3.31209E-4
6.24937, -0.35362, 0.18864, 1.72851E-4, 2.00499E-4
6.2575, -0.34927, 0.18808, 3.37882E-4, -7.99456E-4
6.26563, -0.34729, 0.18324, -2.56757E-4, -7.78039E-4
6.27375, -0.34944, 0.17909, -7.06252E-4, -5.8315E-4
6.28188, -0.35502, 0.17267, -7.92678E-4, 3.25048E-5
6.29, -0.35896, 0.17217, -2.86412E-4, 4.52801E-4
6.29812, -0.36371, 0.17772, 3.4725E-4, 5.84702E-4
6.30625, -0.36382, 0.18087, 6.92522E-4, -1.12135E-4
6.31438, -0.36145, 0.18311, 7.12291E-4, -4.78278E-4
6.3225, -0.35649, 0.18217, -2.88811E-4, -8.82635E-4
6.33063, -0.35483, 0.17763, -1.11358E-4, -5.61504E-4
6.33875, -0.35741, 0.17328, -3.79469E-4, -4.44506E-4
6.34687, -0.36234, 0.17372, -4.93136E-4, -1.49618E-4
6.355, -0.36349, 0.177, -6.38111E-5, 5.59622E-4
6.36313, -0.36167, 0.1794, 2.27893E-4, 8.05987E-5
6.37125, -0.36258, 0.17609, 8.89706E-4, -4.38678E-4
6.37937, -0.36341, 0.17236, 6.77117E-4, -0.00133
6.3875, -0.367, 0.17199, 2.05572E-4, -0.0023
6.39562, -0.36929, 0.17392, -8.42934E-4, -0.00201
6.40375, -0.36855, 0.17771, -0.00195, -0.00164
6.41188, -0.365, 0.18023, -0.00188, -5.56816E-4
6.42, -0.36287, 0.17987, -0.00139, 3.02012E-4
6.42812, -0.3604, 0.1762, -6.28501E-4, 4.31673E-4
6.43625, -0.36192, 0.17166, -2.94864E-4, 1.93163E-4
6.44438, -0.3658, 0.16979, 1.13713E-4, 5.05532E-5
6.4525, -0.3698, 0.17252, -9.55755E-6, 5.74009E-5
6.46063, -0.36888, 0.17677, 1.95933E-4, -4.0256E-4
6.46875, -0.36446, 0.1784, 1.99233E-4, -1.88688E-4
6.47687, -0.361, 0.17648, 2.23807E-4, -6.76882E-4
6.485, -0.36153, 0.17051, -1.7497E-5, -3.62603E-4
6.49313, -0.36473, 0.16688, -2.03266E-4, -6.19783E-5
6.50125, -0.37101, 0.16617, -3.75802E-4, -1.64252E-4
6.50938, -0.37515, 0.16979, -3.93623E-4, -4.09402E-4
6.5175, -0.37502, 0.17551, -3.59342E-4, 2.17911E-4
6.52562, -0.37016, 0.17698, 2.0869E-4, -7.97618E-5
6.53375, -0.36614, 0.1747, 1.35044E-4, -9.215E-4
6.54188, -0.36601, 0.16886, -5.18955E-4, -6.11204E-4
6.55, -0.36947, 0.16667, -0.00108, -4.43566E-4
6.55813, -0.37382, 0.1674, -0.00106, 3.68079E-5
6.56625, -0.37436, 0.17181, -0.00102, 6.36182E-4
6.57437, -0.3713, 0.17401, -3.16964E-4, 5.15566E-4
6.5825, -0.36772, 0.17261, 7.5941E-4, 4.16334E-4
6.59063, -0.36854, 0.16835, 6.86257E-4, -2.27701E-4
6.59875, -0.37181, 0.16569, 6.37266E-4, -5.82214E-4
6.60688, -0.37716, 0.16565, 5.24561E-5, -9.7242E-4
6.615, -0.38111, 0.17014, -7.33544E-4, -0.00119
6.62312, -0.38048, 0.17484, -8.31376E-4, -4.75425E-4
6.63125, -0.37456, 0.1776, -0.0015, -3.69881E-4
6.63938, -0.36801, 0.17442, -0.00104, 4.71561E-4
6.6475, -0.36733, 0.16709, 3.03961E-5, 8.19745E-4
6.65562, -0.37193, 0.16345, 3.18949E-4, -3.14953E-5
6.66375, -0.37678, 0.16606, 5.59925E-5, -3.51606E-4
6.67188, -0.37562, 0.17015, -6.27937E-4, 3.79046E-4
6.68, -0.37154, 0.17028, -8.14245E-4, 6.71599E-4
6.68813, -0.36867, 0.16723, 6.12481E-4, 0.00122
6.69625, -0.36941, 0.16273, 0.00111, -2.29391E-4
6.70437, -0.37526, 0.15582, 0.00115, -6.94718E-4
6.7125, -0.38269, 0.15566, 4.41164E-4, -0.0012
6.72063, -0.38759, 0.16291, -4.48902E-4, -0.0013
6.72875, -0.38629, 0.17388, -7.54008E-4, -5.12541E-4
6.73687, -0.37868, 0.17622, -8.27935E-4, -3.14237E-4
6.745, -0.37275, 0.17196, -8.90355E-4, -2.15755E-5
6.75312, -0.37203, 0.165, -4.95452E-4, 1.27195E-4
6.76125, -0.3779, 0.16148, -4.12029E-4, 2.65101E-4
6.76938, -0.38527, 0.16546, -4.02234E-5, 4.25962E-4
6.7775, -0.38398, 0.17412, -2.17611E-4, 2.82898E-5
6.78562, -0.37625, 0.17797, -3.62162E-4, 1.64198E-4
6.79375, -0.3692, 0.17457, -2.85593E-4, 3.18431E-4
6.80187, -0.36845, 0.16737, -1.26188E-4, 0.00121
6.81, -0.37257, 0.16252, 5.30283E-4, 5.90966E-4
6.81813, -0.37835, 0.16024, 9.83862E-4, 2.53225E-4
6.82625, -0.38454, 0.16357, 9.1713E-4, -3.9539E-5
6.83437, -0.38626, 0.17173, 8.29786E-4, -1.32137E-4
6.8425, -0.38019, 0.17649, 4.83305E-4, -3.99044E-4
6.85063, -0.37349, 0.1734, 4.694E-4, -2.9606E-4
6.85875, -0.37071, 0.16685, 7.21308E-5, -2.08714E-4
6.86688, -0.3741, 0.16119, 1.70642E-4, 8.25056E-5
6.875, -0.38047, 0.16262, 0.00128, 1.27235E-4
6.88312, -0.38095, 0.16771, 0.00131, -4.38021E-4
6.89125, -0.37675, 0.17042, 9.31317E-4, -0.00142
6.89938, -0.37255, 0.16915, 1.46269E-4, -0.00157
6.9075, -0.37474, 0.16334, -8.02662E-4, -9.92325E-4
6.91563, -0.3753, 0.15902, -7.67668E-4, -2.08032E-4
6.92375, -0.38105, 0.15734, -3.64035E-4, -1.11389E-4
6.93187, -0.3845, 0.16173, 2.111E-4, -1.73109E-5
6.94, -0.38778, 0.16733, 3.06479E-4, -2.5715E-4
6.94813, -0.38526, 0.17169, 1.09054E-4, -7.1292E-4
6.95625, -0.38253, 0.17317, 3.54184E-5, -3.29197E-5
6.96438, -0.37819, 0.17147, 2.11159E-4, -4.03837E-4
6.9725, -0.37684, 0.16733, 4.33564E-4, -5.68558E-4
6.98062, -0.37924, 0.16569, 6.07759E-4, -6.72494E-4
6.98875, -0.38086, 0.17005, 1.87114E-4, -8.73204E-4
6.99688, -0.37827, 0.17304, 6.0661E-4, -7.43734E-4
7.005, -0.37361, 0.17276, 3.79735E-5, -0.00142
7.01312, -0.37049, 0.1688, -1.06392E-4, -0.00165
7.02125, -0.37054, 0.16568, -0.00101, -8.57381E-4
7.02937, -0.37506, 0.15944, -0.00125, -2.7175E-4
7.0375, -0.38038, 0.15853, -8.44484E-4, -9.61568E-5
7.04563, -0.38661, 0.16327, -4.19726E-4, -7.53319E-5
7.05375, -0.38529, 0.17302, -2.41288E-4, -8.73391E-4
7.06187, -0.37846, 0.17801, -6.38857E-4, -8.75069E-4
7.07, -0.3706, 0.17435, -0.00119, -2.90866E-4
7.07813, -0.36911, 0.16604, -0.00126, 2.53885E-4
7.08625, -0.37332, 0.16024, -4.74118E-4, 8.94864E-4
7.09438, -0.3787, 0.16309, 1.7949E-4, 6.26011E-4
7.1025, -0.37775, 0.16898, 8.68121E-4, 3.23408E-5
7.11062, -0.37419, 0.16971, 3.65011E-4, -0.00142
7.11875, -0.37242, 0.16758, 7.45222E-5, -9.77396E-4
7.12688, -0.37097, 0.16544, -9.28988E-4, -7.70144E-4
7.135, -0.37373, 0.16108, -8.94951E-4, -4.05779E-4
7.14313, -0.37716, 0.15821, -6.9111E-5, -5.50379E-4
7.15125, -0.38341, 0.15876, -5.62877E-4, -2.7814E-4
7.15937, -0.38558, 0.16607, -4.1031E-4, -6.60056E-4
7.1675, -0.38508, 0.17169, -7.48018E-4, -5.08349E-4
7.17563, -0.38161, 0.17458, -7.49417E-4, -3.87687E-4
7.18375, -0.37769, 0.17643, -6.08499E-4, -5.47831E-4
7.19187, -0.37562, 0.17478, -0.00121, -4.04972E-4
7.2, -0.3733, 0.17368, -0.00169, -2.22332E-4
7.20812, -0.36992, 0.1733, -0.00133, 0.00101
7.21625, -0.36652, 0.17052, -7.72847E-4, 0.00113
7.22438, -0.36791, 0.16668, -7.1071E-5, 5.3589E-4
7.2325, -0.37065, 0.16397, -9.24841E-4, 3.58012E-4
7.24062, -0.3733, 0.16299, -9.41091E-4, 8.45591E-4
7.24875, -0.3761, 0.16345, -8.9933E-4, 6.04101E-4
7.25688, -0.38108, 0.16634, -1.12244E-4, 0.00108
7.265, -0.38161, 0.17348, -1.54169E-5, 3.61124E-4
7.27313, -0.37607, 0.17726, -3.23194E-4, 3.08959E-4
7.28125, -0.36802, 0.17392, -7.4626E-4, 5.99951E-4
7.28937, -0.36518, 0.1677, -2.68995E-4, 9.34697E-4
7.2975, -0.3693, 0.16198, -1.1638E-4, 8.07901E-4
7.30563, -0.37701, 0.16259, 2.93353E-4, 5.56382E-4
7.31375, -0.37817, 0.16924, -1.88582E-4, 3.92245E-4
7.32188, -0.37177, 0.17286, -3.89767E-4, 1.14041E-4
7.33, -0.36634, 0.17053, -7.68355E-4, 1.96731E-4
7.33812, -0.36712, 0.16666, -0.00125, 0.00105
7.34625, -0.37048, 0.1635, -4.10404E-4, 0.00159
7.35438, -0.37529, 0.16181, 4.11962E-5, 0.00175
7.3625, -0.38165, 0.16554, 9.97215E-4, 0.00166
7.37063, -0.3845, 0.17462, 0.00157, 8.72884E-4
7.37875, -0.37398, 0.18104, 0.00127, 2.29941E-4
7.38687, -0.36618, 0.18017, 0.00124, -7.29673E-5
7.395, -0.36208, 0.17197, 7.54119E-4, -3.79784E-4
7.40313, -0.36639, 0.1652, 4.23402E-4, -5.3718E-5
7.41125, -0.37355, 0.16903, 2.89385E-4, 5.01931E-4
7.41937, -0.37267, 0.17724, 9.67335E-4, 1.85617E-4
7.4275, -0.36404, 0.1784, 8.76315E-4, -8.90336E-5
7.43562, -0.35631, 0.17268, 8.77246E-4, -6.20292E-5
7.44375, -0.35869, 0.16496, 6.04661E-4, -3.0639E-4
7.45188, -0.3617, 0.16175, 6.80716E-4, -4.40493E-4
7.46, -0.36729, 0.15782, 8.74235E-4, -2.95163E-4
7.46812, -0.3765, 0.16152, 4.64563E-4, -3.87841E-4
7.47625, -0.38132, 0.17365, 3.32821E-4, -3.20953E-4
7.48438, -0.37328, 0.18599, 4.89447E-4, -7.77339E-4
7.4925, -0.36013, 0.18563, 2.41784E-4, -7.87213E-4
7.50063, -0.35316, 0.17362, 4.54844E-4, -9.03101E-4
7.50875, -0.35579, 0.16134, -3.18127E-5, -6.87268E-4
7.51687, -0.36732, 0.15988, -1.20248E-4, -7.18332E-4
7.525, -0.37224, 0.16929, -5.10724E-4, -3.68515E-4
7.53313, -0.36659, 0.17642, -1.20138E-4, 1.28129E-4
7.54125, -0.35908, 0.17481, 4.15073E-4, 1.02385E-5
7.54937, -0.35689, 0.16934, 1.92029E-4, -5.12275E-4
7.5575, -0.36061, 0.1645, 2.13362E-4, -4.90538E-4
7.56562, -0.36496, 0.16146, -2.01897E-4, -4.97151E-4
7.57375, -0.37323, 0.16196, -2.78993E-4, -1.3838E-4
7.58188, -0.37649, 0.17616, 4.06031E-4, -1.5239E-4
7.59, -0.36809, 0.18562, 6.52622E-4, -3.69808E-4
7.59812, -0.35664, 0.18478, 6.50887E-4, -6.7364E-4
7.60625, -0.35099, 0.17692, 3.79369E-4, -2.8217E-4
7.61437, -0.35376, 0.16752, 6.01083E-4, -4.81073E-4
7.6225, -0.3604, 0.16627, 1.76176E-4, -2.61784E-4
7.63063, -0.3613, 0.17169, -6.23794E-5, -9.05399E-4
7.63875, -0.35592, 0.17455, 3.986E-4, -4.67377E-4
7.64687, -0.35203, 0.1713, 1.72012E-4, -1.27533E-4
7.655, -0.35318, 0.16628, 2.66117E-4, -5.48533E-4
7.66313, -0.35662, 0.16479, 0.0011, -5.93226E-4
7.67125, -0.35967, 0.16595, 5.56858E-4, -0.0013
7.67938, -0.3655, 0.16806, 1.30228E-4, -0.00116
7.6875, -0.36433, 0.17504, 1.86642E-4, -0.00182
7.69562, -0.35658, 0.18221, -6.83556E-4, -9.10658E-4
7.70375, -0.34834, 0.1795, -6.75497E-4, -8.15226E-4
7.71188, -0.34407, 0.17132, -4.86537E-4, -3.61646E-4
7.72, -0.34876, 0.16517, -3.46339E-4, -3.63473E-4
7.72813, -0.35738, 0.16471, 1.25507E-4, -4.46969E-4
7.73625, -0.36006, 0.17044, -3.87053E-5, -6.86231E-4
7.74437, -0.35462, 0.17625, -1.43861E-4, -7.93505E-4
7.7525, -0.34801, 0.1767, -2.5984E-4, -6.92568E-4
7.76063, -0.34549, 0.17199, -4.68194E-4, -7.05617E-4
7.76875, -0.34659, 0.16801, -2.38569E-4, -3.87739E-4
7.77688, -0.34861, 0.16499, -9.74598E-5, -3.73289E-4
7.785, -0.35799, 0.16377, -2.71899E-4, -2.7331E-4
7.79312, -0.3615, 0.17189, -4.65286E-4, -7.72054E-4
7.80125, -0.35456, 0.18107, -4.77629E-5, -4.1973E-4
7.80938, -0.34386, 0.18233, -1.42066E-4, -9.36346E-4
7.8175, -0.33787, 0.17325, -3.11167E-4, -0.00132
7.82563, -0.34239, 0.16538, -6.16391E-4, -0.00116
7.83375, -0.35002, 0.16688, -0.0013, -0.00122
7.84187, -0.35212, 0.17259, -0.0019, -5.00725E-4
7.85, -0.34507, 0.17477, -0.00208, 1.75736E-4
7.85813, -0.3399, 0.17086, -9.5234E-4, 7.59683E-4
7.86625, -0.34122, 0.16669, -4.86322E-4, 9.54184E-4
7.87437, -0.3445, 0.16487, 1.51789E-4, 3.03924E-4
7.8825, -0.34876, 0.16454, -4.11086E-4, 2.64309E-4
7.89063, -0.35506, 0.16896, -3.96808E-4, 2.64356E-4
7.89875, -0.35234, 0.18041, -1.99035E-6, -4.81292E-5
7.90688, -0.34078, 0.18709, 3.76684E-4, -6.8499E-5
7.915, -0.32907, 0.18104, 4.23912E-4, -1.64585E-4
7.92312, -0.32673, 0.16709, 2.78396E-4, 2.23439E-5
7.93125, -0.33387, 0.15557, 3.06289E-5, -7.23603E-4
7.93938, -0.34753, 0.1546, -2.72208E-4, -8.69767E-4
7.9475, -0.35633, 0.16704, -3.47127E-4, -4.05043E-4
7.95562, -0.35209, 0.18059, -0.00108, -5.60347E-4
7.96375, -0.33891, 0.18318, -0.00102, -8.35237E-4
7.97187, -0.33046, 0.17761, -9.036E-4, -1.94801E-4
7.98, -0.32782, 0.17163, -5.79603E-4, -2.37595E-4
7.98813, -0.33054, 0.16596, -3.3835E-4, -2.10049E-4
7.99625, -0.33536, 0.16273, -3.20442E-4, 3.12704E-4
8.00437, -0.34348, 0.1649, -2.01566E-4, -3.00043E-4
8.0125, -0.34469, 0.17451, -5.47511E-4, -2.60868E-4
8.02063, -0.33793, 0.1787, -1.77282E-4, -3.1665E-4
8.02875, -0.32822, 0.17599, -6.28351E-4, -4.12456E-4
8.03688, -0.32727, 0.16848, -6.33382E-4, -6.54356E-4
8.045, -0.33199, 0.16279, -7.77418E-4, -3.00642E-4
8.05312, -0.3383, 0.16551, -7.03787E-4, -2.35961E-4
8.06125, -0.33877, 0.1725, -9.22371E-4, 1.25298E-7
8.06938, -0.33359, 0.17525, -2.78358E-4, 2.06116E-4
8.0775, -0.32805, 0.17398, -5.17823E-4, 2.58564E-4
8.08563, -0.32578, 0.17096, -4.62912E-4, 1.23244E-4
8.09375, -0.32713, 0.16873, -2.57744E-4, 4.88763E-4
8.10187, -0.32894, 0.16918, -0.00101, -2.37484E-4
8.11, -0.33038, 0.17137, -7.9005E-4, 3.78963E-4
8.11812, -0.32799, 0.17458, -6.29076E-4, 2.66793E-4
8.12625, -0.32386, 0.17598, -7.49848E-4, 5.65345E-4
8.13438, -0.32001, 0.17336, -6.20761E-4, 5.47382E-4
8.1425, -0.32028, 0.16835, -1.68152E-4, 3.59989E-4
8.15062, -0.32388, 0.1652, -6.16896E-4, 4.21925E-4
8.15875, -0.32745, 0.1655, -6.37002E-4, 3.73565E-4
8.16687, -0.32723, 0.16951, -4.82456E-4, 3.3772E-4
8.175, -0.3241, 0.17301, -5.88044E-4, 5.55584E-4
8.18313, -0.31941, 0.17345, -4.17096E-4, 3.97665E-4
8.19125, -0.31552, 0.17088, -2.77135E-4, 6.76161E-4
8.19937, -0.3136, 0.1672, -1.23863E-4, 8.07899E-4
8.2075, -0.31522, 0.16426, 2.70228E-5, 0.00135
8.21562, -0.31879, 0.16334, 9.11018E-4, 5.77118E-4
8.22375, -0.32302, 0.16624, 7.50274E-4, 4.78185E-4
8.23188, -0.32131, 0.16965, 2.28936E-5, -4.00279E-4
8.24, -0.31739, 0.17104, 2.28997E-4, -5.31948E-4
8.24812, -0.31427, 0.16921, -5.11785E-4, 5.54228E-5
8.25625, -0.31445, 0.16578, -8.53332E-4, -1.37093E-4
8.26437, -0.31749, 0.16349, -0.00127, -3.1443E-4
8.2725, -0.31846, 0.16468, -0.001, 4.89784E-4
8.28063, -0.31738, 0.16849, -0.00108, 7.7864E-4
8.28875, -0.31404, 0.17088, -5.62787E-4, 0.00126
8.29688, -0.31106, 0.17028, 2.59499E-4, 0.00163
8.305, -0.3083, 0.16855, 3.2717E-4, 8.69309E-4
8.31312, -0.30655, 0.16807, 3.32159E-4, 5.88449E-4
8.32125, -0.30898, 0.16474, 1.81796E-5, 7.37808E-4
8.32938, -0.30831, 0.16333, 1.12474E-4, 6.39313E-4
8.3375, -0.30764, 0.16597, 2.71486E-4, 3.77761E-4
8.34563, -0.30832, 0.16714, 4.43415E-4, 7.5235E-5
8.35375, -0.30734, 0.167, 2.97344E-4, 3.10044E-4
8.36187, -0.30577, 0.16794, 4.83004E-4, 2.45972E-4
8.37, -0.30497, 0.16706, 2.17886E-4, 2.69133E-4
8.37813, -0.30401, 0.16565, 1.5205E-5, 2.32189E-4
8.38625, -0.30232, 0.16486, 1.77646E-4, -2.61078E-4
8.39438, -0.30009, 0.16424, -4.72691E-5, 2.26151E-5
8.4025, -0.29854, 0.16266, -2.85324E-4, 3.28542E-4
8.41062, -0.29904, 0.16061, -1.71172E-4, 1.06996E-4
8.41875, -0.30058, 0.15979, -3.07463E-4, 1.77559E-4
8.42688, -0.302, 0.16022, 2.84887E-4, 6.46004E-4
8.435, -0.30567, 0.16132, 3.45319E-4, 4.79031E-4
8.44313, -0.3042, 0.16414, 2.58723E-4, 6.28159E-4
8.45125, -0.30082, 0.16765, 9.69276E-5, -2.91455E-4
8.45937, -0.29699, 0.16581, 1.71373E-4, -1.54629E-4
8.4675, -0.29584, 0.16274, -4.03394E-4, -1.1964E-4
8.47563, -0.29726, 0.16134, -5.42625E-4, 5.30012E-4
8.48375, -0.29911, 0.16182, 8.05775E-5, 0.00136
8.49188, -0.29918, 0.16257, 1.3632E-4, 0.00109
8.5, -0.29588, 0.16316, 2.23279E-4, 8.53895E-4
8.50812, -0.29335, 0.16292, 0.00105, 3.9505E-4
8.51625, -0.29175, 0.16314, 9.46884E-4, 9.5837E-5
8.52437, -0.29096, 0.16177, 7.76105E-4, -8.71496E-5
8.5325, -0.29102, 0.16163, 4.08908E-4, -4.04891E-4
8.54063, -0.29018, 0.16196, 2.77064E-4, -2.46419E-4
8.54875, -0.28917, 0.16433, 1.91011E-4, 1.1961E-4
8.55687, -0.28747, 0.1658, 5.71462E-4, 3.09222E-4
8.565, -0.28511, 0.16543, 6.88805E-4, -4.44748E-5
8.57312, -0.28233, 0.16239, 6.49874E-5, -1.50502E-4
8.58125, -0.28056, 0.15851, 5.57345E-5, -4.69854E-5
8.58938, -0.28367, 0.15428, -6.66604E-4, -1.68914E-5
8.5975, -0.28906, 0.15533, 3.16154E-5, 1.3577E-4
8.60562, -0.28922, 0.16056, -3.6982E-4, 4.51389E-4
8.61375, -0.28284, 0.16278, -4.7489E-5, -1.83076E-4
8.62187, -0.27753, 0.15989, -1.22371E-4, 3.22044E-4
8.63, -0.27683, 0.157, -6.30046E-4, 4.50231E-4
8.63813, -0.27733, 0.15506, -1.92336E-4, 4.66806E-4
8.64625, -0.27613, 0.15255, 2.35387E-4, 0.00104
8.65437, -0.27981, 0.14906, 4.07665E-4, 3.47634E-4
8.6625, -0.28671, 0.15278, 1.90815E-4, 7.94393E-4
8.67062, -0.28805, 0.16211, 2.55097E-4, 7.12341E-4
8.67875, -0.28023, 0.16751, 5.02568E-5, 7.72391E-4
8.68688, -0.27267, 0.16309, 7.03663E-4, 6.55588E-4
8.695, -0.27089, 0.15702, 8.39074E-4, 6.43202E-4
8.70313, -0.27321, 0.15419, 5.02752E-4, 4.17238E-5
8.71125, -0.27459, 0.15647, 1.95738E-4, 2.7236E-4
8.71937, -0.27222, 0.15635, 2.0624E-4, -8.405E-5
8.7275, -0.27075, 0.15374, 4.79902E-4, -1.57263E-4
8.73563, -0.2716, 0.15426, 5.10879E-4, 3.02216E-4
8.74375, -0.26985, 0.15712, 5.23096E-4, 2.68144E-4
8.75188, -0.26594, 0.15711, 4.52027E-4, -4.80328E-4
8.76, -0.26601, 0.15328, 3.69293E-4, -3.21746E-4
8.76812, -0.26962, 0.15443, 1.25125E-4, -6.47052E-5
8.77625, -0.2663, 0.16075, -4.73464E-4, 1.14207E-4
8.78438, -0.26078, 0.15898, -5.69311E-5, 3.25923E-4
8.7925, -0.25299, 0.15189, 4.45053E-5, -1.20618E-4
8.80063, -0.25546, 0.14445, 5.97797E-4, 7.22146E-4
8.80875, -0.26323, 0.14081, 9.3941E-4, 8.35266E-4
8.81687, -0.26822, 0.14623, 8.77218E-4, 8.64576E-4
8.825, -0.26706, 0.15303, 0.00105, 2.03535E-4
8.83313, -0.26164, 0.1543, 6.24602E-4, 1.12072E-4
8.84125, -0.25766, 0.15173, 3.32431E-4, -3.8153E-4
8.84938, -0.25546, 0.15011, 3.74151E-4, 4.94012E-4
8.8575, -0.25288, 0.14745, 6.49441E-5, 8.31422E-4
8.86562, -0.25462, 0.14322, 6.79551E-6, 7.20042E-4
8.87375, -0.26016, 0.14268, 5.96956E-4, 9.19208E-4
8.88188, -0.2631, 0.1479, 5.36619E-4, 6.51785E-4
8.89, -0.25777, 0.15372, 5.86928E-4, 8.24257E-4
8.89813, -0.25197, 0.15358, 0.00135, 6.84332E-4
8.90625, -0.25027, 0.15015, 0.00124, 5.22284E-4
8.91437, -0.25027, 0.14744, 0.00125, -3.15965E-4
8.9225, -0.24944, 0.14761, 0.00127, -4.2012E-4
8.93062, -0.24545, 0.14716, 3.36533E-4, -1.11718E-4
8.93875, -0.24351, 0.14391, 3.89246E-4, 1.66966E-4
8.94688, -0.2451, 0.14091, 0.00102, 9.53188E-4
8.955, -0.24616, 0.14201, 0.00163, 4.50259E-4
8.96312, -0.24383, 0.14295, 0.00149, 2.3038E-4
8.97125, -0.24262, 0.14087, 0.00139, -3.01394E-4
