# Freiraum-Messung des XBandAbsorbers mit 15 und 150 Ohm Widerstaenden
# f [GHz], Re(S11), Im(S11), Re(S21), Im(S21)
2.86937, -0.91179, 0.32729, 0.01846, 3.86215E-4
2.8775, -0.9196, 0.322, 0.01493, -0.00301
2.88563, -0.92265, 0.3237, 0.0082, -0.00419
2.89375, -0.92601, 0.32346, 0.00356, -0.00286
2.90188, -0.93063, 0.32589, -3.33216E-4, -3.4912E-4
2.91, -0.93591, 0.33145, -0.00368, 0.00437
2.91812, -0.9398, 0.34011, -0.00528, 0.01025
2.92625, -0.93698, 0.34858, -0.00227, 0.01647
2.93438, -0.93475, 0.35786, 0.00544, 0.01949
2.9425, -0.92615, 0.36474, 0.01225, 0.01834
2.95063, -0.91874, 0.3657, 0.01362, 0.01156
2.95875, -0.91365, 0.36363, 0.01335, 0.00942
2.96687, -0.91278, 0.3616, 0.01056, 0.00807
2.975, -0.91068, 0.36609, 0.00981, 0.00939
2.98313, -0.90717, 0.36557, 0.01068, 0.01038
2.99125, -0.90624, 0.36361, 0.01228, 0.01092
2.99938, -0.90189, 0.3598, 0.01639, 0.01088
3.0075, -0.90661, 0.35768, 0.01639, 0.01104
3.01563, -0.90553, 0.35792, 0.02081, 0.00844
3.02375, -0.90503, 0.36045, 0.02312, 0.00235
3.03187, -0.90326, 0.3617, 0.02033, -0.00308
3.04, -0.9016, 0.3595, 0.01467, -0.00661
3.04813, -0.90795, 0.35891, 0.01007, -0.00505
3.05625, -0.90445, 0.35784, 0.0084, -0.00328
3.06438, -0.90637, 0.36184, 0.00638, -8.68482E-4
3.0725, -0.90283, 0.36381, 0.00799, 9.92423E-4
3.08062, -0.90599, 0.36612, 0.0083, 0.00125
3.08875, -0.90452, 0.36975, 0.00942, 8.27903E-4
3.09687, -0.90398, 0.37056, 0.00914, -9.04416E-4
3.105, -0.90832, 0.37554, 0.00743, -5.68312E-4
3.11313, -0.90452, 0.37504, 0.00583, -0.00202
3.12125, -0.90651, 0.38236, 0.00409, 1.02685E-4
3.12938, -0.90557, 0.38603, 0.00304, 0.00223
3.1375, -0.90475, 0.38958, 0.00148, 0.00764
3.14562, -0.90022, 0.39348, 0.00725, 0.01297
3.15375, -0.89301, 0.39391, 0.01567, 0.01184
3.16188, -0.8828, 0.39313, 0.02184, 0.00604
3.17, -0.87868, 0.38884, 0.02027, -6.69341E-4
3.17813, -0.87708, 0.38158, 0.01814, -0.0042
3.18625, -0.87813, 0.37817, 0.01594, -0.00679
3.19438, -0.8834, 0.3789, 0.01301, -0.00759
3.2025, -0.8869, 0.37901, 0.01051, -0.00947
3.21062, -0.88987, 0.37896, 0.00782, -0.00956
3.21875, -0.89303, 0.38255, 0.00576, -0.00767
3.22688, -0.8934, 0.38327, 0.00537, -0.00659
3.235, -0.89432, 0.38809, 0.00437, -0.00716
3.24313, -0.89481, 0.3925, 0.0032, -0.00758
3.25125, -0.89559, 0.39474, -4.63986E-4, -0.00782
3.25937, -0.89688, 0.39542, -0.00474, -0.00496
3.2675, -0.89888, 0.4017, -0.00646, 0.00236
3.27562, -0.89381, 0.40618, -0.00373, 0.00787
3.28375, -0.88858, 0.41217, 0.00199, 0.01192
3.29188, -0.88137, 0.41798, 0.0107, 0.01285
3.3, -0.87075, 0.41439, 0.0158, 0.00659
3.30813, -0.86556, 0.41023, 0.01701, 7.25395E-5
3.31625, -0.86745, 0.40623, 0.01319, -0.00551
3.32437, -0.86954, 0.40571, 0.00843, -0.00482
3.3325, -0.87124, 0.40494, 0.00711, -0.00462
3.34063, -0.87271, 0.40934, 0.00545, -0.00246
3.34875, -0.87108, 0.40978, 0.00805, -4.04475E-4
3.35688, -0.87071, 0.41067, 0.00861, -0.00135
3.365, -0.87238, 0.40889, 0.01255, -0.00243
3.37312, -0.87209, 0.40927, 0.01182, -0.00739
3.38125, -0.87284, 0.41146, 0.00991, -0.01118
3.38938, -0.86885, 0.40774, 0.00325, -0.01287
3.3975, -0.86749, 0.40466, -2.85351E-4, -0.01037
3.40563, -0.873, 0.39918, -0.00354, -0.00755
3.41375, -0.88055, 0.40548, -0.00489, -0.00204
3.42188, -0.88595, 0.41563, -0.00177, 0.00178
3.43, -0.87903, 0.42663, 9.8444E-4, 0.00317
3.43812, -0.87016, 0.43013, 0.00418, 0.00324
3.44625, -0.8698, 0.43035, 0.00443, 0.00124
3.45437, -0.86851, 0.42878, 0.00579, 0.00212
3.4625, -0.86615, 0.42721, 0.00713, 5.59471E-4
3.47063, -0.8662, 0.42875, 0.00703, -7.26906E-4
3.47875, -0.86377, 0.43018, 0.00746, -6.63305E-4
3.48687, -0.86491, 0.43545, 0.00862, -0.00112
3.495, -0.86072, 0.43568, 0.0108, -0.00358
3.50312, -0.85742, 0.43627, 0.01059, -0.00817
3.51125, -0.85635, 0.4321, 0.00725, -0.01204
3.51938, -0.86129, 0.43061, 0.00189, -0.01337
3.5275, -0.87034, 0.43064, -0.00366, -0.0115
3.53563, -0.87339, 0.43907, -0.00663, -0.00671
3.54375, -0.87245, 0.44658, -0.00593, -7.74878E-5
3.55187, -0.86879, 0.45134, -0.00237, 0.00186
3.56, -0.86335, 0.45599, 2.60406E-4, 0.00342
3.56813, -0.85649, 0.45874, 0.0032, 0.00227
3.57625, -0.85097, 0.45628, 0.00328, -5.08078E-6
3.58438, -0.84873, 0.45809, 0.00296, -0.00138
3.5925, -0.85109, 0.45508, 8.73431E-4, -0.00123
3.60063, -0.85142, 0.45707, 4.90429E-4, 5.51524E-4
3.60875, -0.85212, 0.4616, 0.00181, 9.76096E-4
3.61687, -0.85122, 0.46523, 0.0018, 0.00221
3.625, -0.85037, 0.46787, 0.00409, 0.00178
3.63313, -0.85069, 0.4699, 0.00444, 2.32141E-5
3.64125, -0.8545, 0.47116, 0.00476, 1.57289E-4
3.64938, -0.85473, 0.47851, 0.00401, -6.48877E-4
3.6575, -0.84936, 0.48542, 0.00483, -7.57154E-4
3.66562, -0.84548, 0.4867, 0.00368, -8.12046E-4
3.67375, -0.83709, 0.48974, 0.00481, -4.01351E-5
3.68187, -0.83295, 0.49191, 0.00618, -0.00158
3.69, -0.8319, 0.49582, 0.00545, -0.00338
3.69813, -0.82777, 0.49583, 0.00489, -0.00399
3.70625, -0.8242, 0.49683, 0.00295, -0.0048
3.71438, -0.82021, 0.49823, 0.00239, -0.00403
3.7225, -0.8179, 0.4999, 0.00169, -0.00399
3.73062, -0.81215, 0.50001, 0.00102, -0.00323
3.73875, -0.81512, 0.49749, 2.46138E-4, -0.00341
3.74688, -0.81585, 0.49432, -8.33041E-4, -0.00273
3.755, -0.81978, 0.49794, -0.0016, -0.00155
3.76313, -0.82082, 0.50624, -8.01458E-4, 4.29044E-5
3.77125, -0.8157, 0.51097, 8.56532E-4, 4.41157E-4
3.77937, -0.80896, 0.5155, 7.67966E-4, 1.3896E-4
3.7875, -0.80296, 0.5161, 5.2875E-4, 4.05792E-4
3.79563, -0.79933, 0.51785, 0.00183, 0.00119
3.80375, -0.79862, 0.52064, 0.00241, 0.00154
3.81188, -0.79412, 0.52066, 0.00393, 0.00126
3.82, -0.78709, 0.5204, 0.00478, 4.75378E-5
3.82813, -0.78565, 0.51928, 0.00462, -0.00116
3.83625, -0.78274, 0.51861, 0.00337, -0.00218
3.84437, -0.78469, 0.51974, 0.00303, -0.00208
3.8525, -0.78415, 0.52216, 0.00192, -0.00173
3.86062, -0.78105, 0.52688, 0.00249, -0.00139
3.86875, -0.78198, 0.5308, 0.00268, -0.00162
3.87688, -0.77655, 0.53618, 0.00352, -0.00183
3.885, -0.77203, 0.53968, 0.00353, -0.00313
3.89312, -0.76659, 0.53965, 0.00232, -0.00355
3.90125, -0.7617, 0.53785, 1.39953E-4, -0.00389
3.90937, -0.76073, 0.53869, -0.00169, -0.00278
3.9175, -0.75889, 0.53766, -0.0022, -7.54324E-4
3.92563, -0.75621, 0.5387, -9.98152E-4, 0.00107
3.93375, -0.75189, 0.54124, 8.41592E-4, 0.00224
3.94188, -0.7455, 0.54016, 0.00358, 0.00153
3.95, -0.74272, 0.53786, 0.00349, -1.49842E-4
3.95812, -0.74728, 0.53797, 0.00315, -0.00142
3.96625, -0.74336, 0.5397, 0.00194, -0.00211
3.97438, -0.74347, 0.54175, 0.00143, -0.00172
3.9825, -0.74364, 0.54548, 0.00122, -5.23405E-4
3.99063, -0.74209, 0.55038, 0.00169, -1.80029E-4
3.99875, -0.7359, 0.55325, 0.00228, -2.28067E-5
4.00688, -0.73084, 0.55475, 0.00327, -6.9109E-4
4.015, -0.72857, 0.55568, 0.00379, -0.00202
4.02313, -0.72467, 0.55619, 0.0034, -0.00407
4.03125, -0.72037, 0.55703, 0.00112, -0.00478
4.03937, -0.71767, 0.55841, -0.0015, -0.00405
4.0475, -0.71473, 0.56021, -0.00248, -0.00148
4.05563, -0.71354, 0.56368, -0.00176, 9.26312E-4
4.06375, -0.70816, 0.56398, 1.72092E-4, 0.00149
4.07188, -0.70121, 0.56457, 0.00163, 0.00127
4.08, -0.69928, 0.56481, 0.00192, -4.70297E-4
4.08812, -0.69706, 0.56491, 0.00132, -1.75055E-4
4.09625, -0.69398, 0.566, 5.18818E-4, 7.28263E-4
4.10438, -0.69085, 0.56622, 0.00152, 0.00161
4.1125, -0.6851, 0.57127, 0.00267, 0.00197
4.12063, -0.67859, 0.5708, 0.00564, 0.00204
4.12875, -0.6723, 0.56977, 0.00738, -0.0016
4.13687, -0.66819, 0.56399, 0.00574, -0.00431
4.145, -0.66804, 0.55899, 0.00293, -0.00639
4.15313, -0.66927, 0.55828, 1.53974E-4, -0.00582
4.16125, -0.67021, 0.5592, -0.00137, -0.00459
4.16937, -0.66912, 0.56331, -0.0027, -0.00289
4.1775, -0.67187, 0.56509, -0.00268, -3.92199E-4
4.18562, -0.66654, 0.56714, -0.00154, 0.00109
4.19375, -0.66341, 0.57254, 1.87219E-4, 0.00134
4.20188, -0.65812, 0.57362, 6.09284E-4, 5.87327E-4
4.21, -0.6524, 0.57492, 8.02123E-4, 6.13363E-5
4.21812, -0.64741, 0.57514, 6.32396E-4, 6.00914E-4
4.22625, -0.64298, 0.57461, 3.75139E-4, 0.00115
4.23438, -0.63934, 0.5767, 0.00153, 0.00199
4.2425, -0.63532, 0.57623, 0.0023, 0.00137
4.25063, -0.63064, 0.57634, 0.00252, 0.00107
4.25875, -0.62704, 0.57679, 0.00309, 0.00122
4.26687, -0.62308, 0.5768, 0.00401, 6.52991E-4
4.275, -0.61866, 0.57801, 0.00443, -0.00104
