#"Freq [GHz]","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $thetascan='0deg' LSim='4cm'"
0.5,0.999957371608466
0.51,0.999956201735325
0.52,0.99995499841903
0.53,0.99995376094156
0.54,0.999952488559197
0.55,0.999951180501738
0.56,0.999949835971679
0.57,0.999948454143377
0.58,0.999947034162172
0.59,0.99994557514349
0.6,0.999944076171903
0.61,0.999942536300169
0.62,0.99994095454823
0.63,0.999939329902172
0.64,0.999937661313163
0.65,0.999935947696334
0.66,0.999934187929636
0.67,0.999932380852649
0.68,0.999930525265353
0.69,0.999928619926844
0.7,0.99992666355402
0.71,0.999924654820206
0.72,0.999922592353736
0.73,0.999920474736481
0.74,0.999918300502318
0.75,0.999916068135554
0.76,0.999913776069279
0.77,0.999911422683663
0.78,0.999909006304189
0.79,0.999906525199817
0.8,0.99990397758108
0.81,0.999901361598104
0.82,0.999898675338553
0.83,0.999895916825494
0.84,0.999893084015179
0.85,0.999890174794739
0.86,0.999887186979781
0.87,0.999884118311901
0.88,0.999880966456083
0.89,0.999877728998005
0.9,0.999874403441222
0.91,0.99987098720425
0.92,0.999867477617508
0.93,0.999863871920156
0.94,0.999860167256777
0.95,0.999856360673943
0.96,0.999852449116609
0.97,0.999848429424376
0.98,0.999844298327579
0.99,0.999840052443207
1,0.999835688270648
1.01,0.999831202187247
1.02,0.999826590443663
1.03,0.999821849159018
1.04,0.999816974315836
1.05,0.999811961754744
1.06,0.999806807168936
1.07,0.999801506098383
1.08,0.999796053923773
1.09,0.999790445860169
1.1,0.999784676950375
1.11,0.99977874205798
1.12,0.999772635860083
1.13,0.999766352839658
1.14,0.999759887277558
1.15,0.99975323324413
1.16,0.999746384590421
1.17,0.999739334938948
1.18,0.999732077674015
1.19,0.999724605931544
1.2,0.999716912588396
1.21,0.999708990251149
1.22,0.999700831244311
1.23,0.999692427597919
1.24,0.999683771034505
1.25,0.999674852955377
1.26,0.999665664426184
1.27,0.999656196161718
1.28,0.999646438509908
1.29,0.999636381434953
1.3,0.999626014499549
1.31,0.999615326846147
1.32,0.99960430717718
1.33,0.999592943734212
1.34,0.999581224275907
1.35,0.999569136054784
1.36,0.999556665792646
1.37,0.999543799654617
1.38,0.999530523221691
1.39,0.999516821461692
1.4,0.999502678698545
1.41,0.999488078579747
1.42,0.99947300404191
1.43,0.999457437274252
1.44,0.999441359679895
1.45,0.999424751834818
1.46,0.999407593444305
1.47,0.999389863296709
1.48,0.99937153921435
1.49,0.999352598001336
1.5,0.999333015388092
1.51,0.999312765972365
1.52,0.999291823156424
1.53,0.999270159080217
1.54,0.999247744550145
1.55,0.999224548963151
1.56,0.999200540225758
1.57,0.999175684667688
1.58,0.999149946949621
1.59,0.999123289964668
1.6,0.999095674733048
1.61,0.999067060289437
1.62,0.999037403562418
1.63,0.999006659245371
1.64,0.998974779658149
1.65,0.998941714598732
1.66,0.998907411184087
1.67,0.998871813679286
1.68,0.998834863313918
1.69,0.998796498084708
1.7,0.998756652543137
1.71,0.998715257566794
1.72,0.998672240112991
1.73,0.998627522953094
1.74,0.99858102438583
1.75,0.998532657927648
1.76,0.998482331978061
1.77,0.998429949457617
1.78,0.998375407415952
1.79,0.998318596607072
1.8,0.998259401028748
1.81,0.998197697422505
1.82,0.99813335473037
1.83,0.998066233504067
1.84,0.997996185261885
1.85,0.997923051787898
1.86,0.997846664367597
1.87,0.997766842953316
1.88,0.997683395252032
1.89,0.997596115727245
1.9,0.997504784505647
1.91,0.997409166178128
1.92,0.997309008483378
1.93,0.997204040860887
1.94,0.997093972858409
1.95,0.996978492377088
1.96,0.996857263735179
1.97,0.996729925528822
1.98,0.996596088265344
1.99,0.996455331741307
2,0.996307202133569
2.01,0.996151208767212
2.02,0.99598682051901
2.03,0.995813461809099
2.04,0.995630508126548
2.05,0.995437281026404
2.06,0.995233042526266
2.07,0.995016988819372
2.08,0.994788243208098
2.09,0.994545848146469
2.1,0.994288756262181
2.11,0.994015820207265
2.12,0.99372578116119
2.13,0.993417255780098
2.14,0.993088721349995
2.15,0.992738498858829
2.16,0.992364733651017
2.17,0.991965373266201
2.18,0.99153814198947
2.19,0.991080511550192
2.2,0.990589667297129
2.21,0.990062469044285
2.22,0.989495405619012
2.23,0.988884541944171
2.24,0.988225457240141
2.25,0.987513172628615
2.26,0.986742066043071
2.27,0.985905771881335
2.28,0.98499706224855
2.29,0.984007705901794
