# Freiraum-Messung des XBandAbsorbers mit 30 und 300 Ohm Widerstaenden
# f [GHz], Re(S11), Im(S11), Re(S21), Im(S21)
1, -0.75572, 0.2738, 0.22674, 0.17851
1.0045, -0.75511, 0.26647, 0.22348, 0.17169
1.009, -0.75237, 0.26269, 0.22587, 0.15848
1.0135, -0.75086, 0.24755, 0.22589, 0.13904
1.018, -0.76028, 0.22448, 0.21148, 0.11742
1.0225, -0.77545, 0.2312, 0.19889, 0.11109
1.027, -0.78044, 0.23409, 0.18961, 0.10574
1.0315, -0.78276, 0.22714, 0.18167, 0.09413
1.036, -0.80283, 0.22573, 0.16432, 0.087
1.0405, -0.81726, 0.23803, 0.14839, 0.09131
1.045, -0.82066, 0.24071, 0.14605, 0.10094
1.0495, -0.81711, 0.25413, 0.15092, 0.1143
1.054, -0.79806, 0.25021, 0.16242, 0.11865
1.0585, -0.78368, 0.23801, 0.18074, 0.11719
1.063, -0.77894, 0.22588, 0.19789, 0.11558
1.0675, -0.77093, 0.21466, 0.21447, 0.10848
1.072, -0.76698, 0.18695, 0.21949, 0.08904
1.0765, -0.76442, 0.16761, 0.23305, 0.07783
1.081, -0.75898, 0.16067, 0.24315, 0.0693
1.0855, -0.77215, 0.13681, 0.24656, 0.05865
1.09, -0.7806, 0.13328, 0.24665, 0.05898
1.0945, -0.77548, 0.12536, 0.25653, 0.05569
1.099, -0.75763, 0.11998, 0.26617, 0.05228
1.1035, -0.74365, 0.11302, 0.26795, 0.04886
1.108, -0.7281, 0.09989, 0.26614, 0.03437
1.1125, -0.71907, 0.09009, 0.25679, 0.02156
1.117, -0.71635, 0.07737, 0.246, 0.00959
1.1215, -0.73319, 0.07193, 0.22344, -0.00255
1.126, -0.74196, 0.06509, 0.20362, -0.01054
1.1305, -0.7583, 0.05067, 0.18333, -0.02109
1.135, -0.77962, 0.04127, 0.16031, -0.03391
1.1395, -0.81508, 0.04428, 0.12578, -0.03654
1.144, -0.84948, 0.05376, 0.09573, -0.02951
1.1485, -0.88874, 0.0679, 0.06992, -0.02091
1.153, -0.91819, 0.09578, 0.0508, 8.07702E-4
1.1575, -0.93513, 0.12821, 0.04333, 0.01987
1.162, -0.9645, 0.15923, 0.02517, 0.03989
1.1665, -0.97839, 0.19842, 0.02356, 0.07098
1.171, -0.97194, 0.24264, 0.03361, 0.102
1.1755, -0.93684, 0.28319, 0.05866, 0.12846
1.18, -0.89917, 0.31086, 0.0877, 0.14792
1.1845, -0.85995, 0.32349, 0.11779, 0.15861
1.189, -0.82012, 0.31505, 0.15554, 0.15813
1.1935, -0.77905, 0.28837, 0.18861, 0.14114
1.198, -0.75485, 0.25688, 0.21448, 0.12393
1.2025, -0.74954, 0.23625, 0.23246, 0.10833
1.207, -0.73819, 0.21537, 0.24706, 0.08988
1.2115, -0.73014, 0.18674, 0.25043, 0.07365
1.216, -0.71825, 0.17445, 0.26163, 0.05806
1.2205, -0.71538, 0.15661, 0.26194, 0.04112
1.225, -0.71928, 0.14074, 0.24933, 0.02988
1.2295, -0.72112, 0.13297, 0.24865, 0.02081
1.234, -0.71825, 0.11828, 0.24189, 0.00611
1.2385, -0.7282, 0.11088, 0.2313, 0.00105
1.243, -0.74238, 0.1022, 0.22143, -0.00827
1.2475, -0.75745, 0.09569, 0.20737, -0.02007
1.252, -0.76959, 0.08813, 0.19253, -0.02361
1.2565, -0.78527, 0.09466, 0.17669, -0.03017
1.261, -0.79587, 0.0972, 0.16087, -0.03347
1.2655, -0.80975, 0.10958, 0.14233, -0.02559
1.27, -0.82024, 0.11472, 0.13713, -0.02283
1.2745, -0.82904, 0.11995, 0.12518, -0.0187
1.279, -0.83497, 0.12328, 0.12618, -0.01204
1.2835, -0.84073, 0.12219, 0.12979, -0.00891
1.288, -0.84429, 0.12199, 0.13007, -0.01261
1.2925, -0.84726, 0.12195, 0.13177, -0.01572
1.297, -0.84691, 0.12152, 0.13263, -0.02008
1.3015, -0.84627, 0.11822, 0.1369, -0.02435
1.306, -0.85135, 0.10654, 0.13938, -0.04022
1.3105, -0.85631, 0.09568, 0.13086, -0.05648
1.315, -0.87049, 0.08001, 0.10908, -0.07296
1.3195, -0.89106, 0.07607, 0.07976, -0.06822
1.324, -0.91928, 0.07111, 0.04433, -0.05971
1.3285, -0.94889, 0.08876, 0.02277, -0.03018
1.333, -0.96193, 0.11265, 0.0141, 0.00419
1.3375, -0.97735, 0.1442, 0.01004, 0.03813
1.342, -0.97314, 0.18714, 0.02117, 0.07648
1.3465, -0.95742, 0.23109, 0.0362, 0.1071
1.351, -0.92248, 0.27035, 0.07294, 0.13783
1.3555, -0.87357, 0.28194, 0.11389, 0.14526
1.36, -0.84578, 0.26956, 0.14413, 0.12903
