# Freiraum-Messung des XBandAbsorbers mit 30 und 300 Ohm Widerstaenden
# f [GHz], Re(S11), Im(S11), Re(S21), Im(S21)
1.3645, -0.80672, 0.25831, 0.16733, 0.11514
1.369, -0.78957, 0.22967, 0.1833, 0.09221
1.3735, -0.79541, 0.20761, 0.18446, 0.07283
1.378, -0.79014, 0.19882, 0.1899, 0.05779
1.3825, -0.78485, 0.18071, 0.19349, 0.03706
1.387, -0.79013, 0.17022, 0.19424, 0.02631
1.3915, -0.79453, 0.16031, 0.19731, 0.01147
1.396, -0.79994, 0.14523, 0.19863, -0.00843
1.4005, -0.80624, 0.13434, 0.19334, -0.02478
1.405, -0.81171, 0.12094, 0.18907, -0.04303
1.4095, -0.82016, 0.11125, 0.18539, -0.05575
1.414, -0.83012, 0.10139, 0.17694, -0.07212
1.4185, -0.84581, 0.09032, 0.16717, -0.08319
1.423, -0.85651, 0.08493, 0.15973, -0.0934
1.4275, -0.86958, 0.07587, 0.15041, -0.10667
1.432, -0.88657, 0.0629, 0.14041, -0.12
1.4365, -0.90595, 0.0536, 0.12397, -0.13113
1.441, -0.92949, 0.04754, 0.10394, -0.14015
1.4455, -0.94956, 0.04849, 0.08388, -0.1461
1.45, -0.96989, 0.04652, 0.06096, -0.14722
1.4545, -0.99736, 0.0485, 0.03573, -0.14355
1.459, -1.0235, 0.06, 0.01511, -0.13941
1.4635, -1.05342, 0.08147, -0.01329, -0.13331
1.468, -1.06461, 0.11226, -0.03577, -0.11228
1.4725, -1.07352, 0.13576, -0.05532, -0.09318
1.477, -1.07175, 0.17283, -0.06995, -0.06228
1.4815, -1.0595, 0.20141, -0.07935, -0.03232
1.486, -1.03825, 0.22732, -0.07624, 0.00284
1.4905, -1.01599, 0.23835, -0.06476, 0.02807
1.495, -0.99583, 0.24999, -0.04661, 0.04941
1.4995, -0.97616, 0.25414, -0.02909, 0.06054
1.504, -0.96007, 0.25008, -0.00908, 0.06526
1.5085, -0.95277, 0.24074, 0.00556, 0.06422
1.513, -0.95022, 0.2364, 0.01665, 0.06231
1.5175, -0.94945, 0.22882, 0.02388, 0.05788
1.522, -0.94995, 0.22948, 0.02846, 0.05616
1.5265, -0.95407, 0.22778, 0.03421, 0.05653
1.531, -0.9587, 0.22813, 0.04029, 0.05706
1.5355, -0.96321, 0.23325, 0.04695, 0.0556
1.54, -0.97027, 0.23794, 0.05085, 0.05044
1.5445, -0.97659, 0.25043, 0.05344, 0.04919
1.549, -0.97859, 0.25355, 0.05895, 0.04785
1.5535, -0.97624, 0.26177, 0.06268, 0.04508
1.558, -0.96587, 0.26887, 0.06748, 0.04456
1.5625, -0.95841, 0.2666, 0.07263, 0.03827
1.567, -0.94913, 0.26348, 0.0752, 0.03587
1.5715, -0.94136, 0.2574, 0.08165, 0.02954
1.576, -0.93318, 0.24517, 0.0831, 0.0204
1.5805, -0.94231, 0.23123, 0.08254, 0.01156
1.585, -0.94727, 0.22493, 0.0757, 0.00371
1.5895, -0.95136, 0.22239, 0.07101, 0.0025
1.594, -0.94833, 0.21661, 0.06825, -0.00274
1.5985, -0.94488, 0.21391, 0.06587, -0.00571
1.603, -0.94478, 0.20925, 0.06449, -0.01007
1.6075, -0.94279, 0.206, 0.05581, -0.0151
1.612, -0.94551, 0.19862, 0.05088, -0.01704
1.6165, -0.95346, 0.19808, 0.04643, -0.01588
1.621, -0.95914, 0.20077, 0.04327, -0.01447
1.6255, -0.96347, 0.2039, 0.04489, -0.01641
1.63, -0.97091, 0.2055, 0.04387, -0.02072
1.6345, -0.97543, 0.21039, 0.04028, -0.02266
1.639, -0.98311, 0.21884, 0.03458, -0.02572
1.6435, -0.98668, 0.23037, 0.02859, -0.02709
1.648, -0.98407, 0.23932, 0.02506, -0.02704
1.6525, -0.98782, 0.24223, 0.01873, -0.03204
1.657, -0.98892, 0.24844, 0.01097, -0.03242
1.6615, -0.99442, 0.24993, -0.00116, -0.03213
1.666, -1.00007, 0.26105, -0.01449, -0.02492
1.6705, -1.00144, 0.27035, -0.02779, -0.01364
1.675, -0.99597, 0.28044, -0.03265, 0.00147
1.6795, -0.99281, 0.29024, -0.03749, 0.01697
1.684, -0.98117, 0.29647, -0.03558, 0.03546
1.6885, -0.9813, 0.30398, -0.02859, 0.05059
1.693, -0.96373, 0.30739, -0.01749, 0.06642
1.6975, -0.94169, 0.3055, -7.10083E-4, 0.07671
1.702, -0.91795, 0.29956, 0.01874, 0.08427
1.7065, -0.89889, 0.28372, 0.03895, 0.07891
1.711, -0.87999, 0.26869, 0.05759, 0.07287
1.7155, -0.86947, 0.2493, 0.0695, 0.06098
1.72, -0.86777, 0.23364, 0.07734, 0.04748
1.7245, -0.87609, 0.21702, 0.0796, 0.0331
1.729, -0.88303, 0.20886, 0.08152, 0.02287
1.7335, -0.88962, 0.20024, 0.07969, 0.01261
1.738, -0.89418, 0.19565, 0.0769, 0.00505
1.7425, -0.89924, 0.1923, 0.07418, -0.00358
1.747, -0.90608, 0.18891, 0.06896, -0.00906
1.7515, -0.91525, 0.1933, 0.06612, -0.01268
1.756, -0.92263, 0.19891, 0.06381, -0.01601
1.7605, -0.92279, 0.20097, 0.06372, -0.02062
1.765, -0.92813, 0.20322, 0.06074, -0.02466
1.7695, -0.93199, 0.20883, 0.0589, -0.02869
1.774, -0.93427, 0.21024, 0.05658, -0.03479
1.7785, -0.93938, 0.20915, 0.05384, -0.03981
1.783, -0.94272, 0.20718, 0.04818, -0.04511
1.7875, -0.94791, 0.20502, 0.04087, -0.04894
1.792, -0.95192, 0.20255, 0.0354, -0.05088
1.7965, -0.95691, 0.19922, 0.02728, -0.0533
1.801, -0.96685, 0.19262, 0.02078, -0.05359
1.8055, -0.96807, 0.18713, 0.01329, -0.05462
1.81, -0.97553, 0.18526, 0.00522, -0.05222
1.8145, -0.98007, 0.18139, -6.67219E-4, -0.0519
1.819, -0.98719, 0.18073, -0.00873, -0.0494
1.8235, -0.9906, 0.18666, -0.01775, -0.04618
1.828, -0.99018, 0.19017, -0.02453, -0.03754
1.8325, -0.98576, 0.19184, -0.02611, -0.03044
1.837, -0.98467, 0.19516, -0.02995, -0.02498
1.8415, -0.98095, 0.20541, -0.0319, -0.01719
1.846, -0.98292, 0.2138, -0.03185, -0.01119
1.8505, -0.98046, 0.22208, -0.03147, -0.00552
1.855, -0.98451, 0.22563, -0.02976, -0.00194
1.8595, -0.98263, 0.23583, -0.02933, 0.00499
1.864, -0.98566, 0.24175, -0.02692, 0.0068
1.8685, -0.99291, 0.24916, -0.02911, 0.00975
1.873, -0.98946, 0.2582, -0.02923, 0.01706
1.8775, -0.98277, 0.26148, -0.02532, 0.02465
1.882, -0.97261, 0.26433, -0.01942, 0.03305
1.8865, -0.96005, 0.26395, -0.00831, 0.03733
1.891, -0.95041, 0.26251, 1.49003E-4, 0.03913
1.8955, -0.93988, 0.25806, 0.01217, 0.0377
1.9, -0.93532, 0.25416, 0.02161, 0.03403
1.9045, -0.93032, 0.25352, 0.02749, 0.02835
1.909, -0.92086, 0.2491, 0.03731, 0.02105
1.9135, -0.91777, 0.24267, 0.03918, 0.01403
1.918, -0.9238, 0.23961, 0.04047, 0.00506
1.9225, -0.93077, 0.2328, 0.03957, -0.00243
1.927, -0.93807, 0.22773, 0.03896, -0.01045
1.9315, -0.95122, 0.22455, 0.03208, -0.01844
1.936, -0.95563, 0.21618, 0.02717, -0.02118
1.9405, -0.95941, 0.20866, 0.02317, -0.02406
1.945, -0.9535, 0.20534, 0.01952, -0.03066
1.9495, -0.94848, 0.20272, 0.01381, -0.03241
1.954, -0.94487, 0.19857, 0.01021, -0.03797
1.9585, -0.94854, 0.20075, 0.00358, -0.04012
1.963, -0.95272, 0.20131, -0.0034, -0.04366
1.9675, -0.96533, 0.20158, -0.01197, -0.04781
1.972, -0.98467, 0.20114, -0.02252, -0.04713
1.9765, -1.00127, 0.20159, -0.03012, -0.04631
1.981, -1.01791, 0.20478, -0.03966, -0.04371
1.9855, -1.02813, 0.21227, -0.05002, -0.03871
1.99, -1.03411, 0.22266, -0.06137, -0.0292
1.9945, -1.03903, 0.23297, -0.07226, -0.01673
1.999, -1.04277, 0.25654, -0.08207, -0.00385
2.0035, -1.03946, 0.28965, -0.0951, 0.01656
2.008, -1.02752, 0.32385, -0.09617, 0.04431
2.0125, -1.02314, 0.34034, -0.09087, 0.06648
2.017, -1.00821, 0.36001, -0.07498, 0.09153
2.0215, -0.98839, 0.36517, -0.05056, 0.10271
2.026, -0.97273, 0.35742, -0.02617, 0.10767
2.0305, -0.9526, 0.34915, -0.00138, 0.10499
2.035, -0.93714, 0.33723, 0.01816, 0.09585
2.0395, -0.92367, 0.32698, 0.03352, 0.08622
2.044, -0.91289, 0.31411, 0.04474, 0.07366
2.0485, -0.90454, 0.3031, 0.05216, 0.06358
2.053, -0.89856, 0.29657, 0.06025, 0.05396
2.0575, -0.89259, 0.29039, 0.06303, 0.04243
2.062, -0.88831, 0.28896, 0.06668, 0.03475
2.0665, -0.88015, 0.28135, 0.0682, 0.02671
2.071, -0.87359, 0.27066, 0.07051, 0.01701
2.0755, -0.86697, 0.25693, 0.0711, 0.00643
2.08, -0.86646, 0.24325, 0.07068, -0.00302
2.0845, -0.86992, 0.22807, 0.06909, -0.01407
2.089, -0.88012, 0.2135, 0.06643, -0.02411
2.0935, -0.89041, 0.20103, 0.06264, -0.03391
2.098, -0.89926, 0.18982, 0.05731, -0.04742
2.1025, -0.91457, 0.17556, 0.04629, -0.06057
2.107, -0.93589, 0.17106, 0.03337, -0.07082
2.1115, -0.95764, 0.1737, 0.01275, -0.07906
2.116, -0.98024, 0.17648, -0.0115, -0.08094
2.1205, -1.00561, 0.19358, -0.03328, -0.07542
2.125, -1.02884, 0.21947, -0.05511, -0.06225
2.1295, -1.03716, 0.25563, -0.06853, -0.04069
2.134, -1.03273, 0.28013, -0.07325, -0.01792
2.1385, -1.02502, 0.30318, -0.07482, 0.00588
2.143, -1.01085, 0.31907, -0.06496, 0.0249
2.1475, -0.98422, 0.32569, -0.04899, 0.03911
2.152, -0.96704, 0.3274, -0.03368, 0.04597
2.1565, -0.9502, 0.31817, -0.01839, 0.04572
2.161, -0.94138, 0.31105, -0.00739, 0.04299
2.1655, -0.93395, 0.30577, 0.00374, 0.03908
2.17, -0.92646, 0.29785, 0.00976, 0.03273
2.1745, -0.92578, 0.28948, 0.0132, 0.02476
2.179, -0.93147, 0.28997, 0.01214, 0.02016
2.1835, -0.93563, 0.28755, 0.01106, 0.01686
2.188, -0.93961, 0.28974, 0.00953, 0.01465
2.1925, -0.94078, 0.29386, 0.00858, 0.01404
2.197, -0.94052, 0.29311, 0.00827, 0.01473
2.2015, -0.94052, 0.29496, 0.00951, 0.01441
2.206, -0.9372, 0.29574, 0.01095, 0.01435
2.2105, -0.92999, 0.29393, 0.01374, 0.01418
2.215, -0.92734, 0.28921, 0.01447, 0.0124
2.2195, -0.92347, 0.28882, 0.01647, 0.01041
2.224, -0.91691, 0.28686, 0.01903, 0.00768
2.2285, -0.91227, 0.28157, 0.02044, 0.00366
2.233, -0.91392, 0.27567, 0.02052, -0.0014
2.2375, -0.91787, 0.27082, 0.01729, -0.006
2.242, -0.92198, 0.26796, 0.01524, -0.00833
2.2465, -0.92597, 0.26306, 0.01271, -0.01246
2.251, -0.93533, 0.26025, 0.00803, -0.01377
2.2555, -0.94021, 0.26456, 0.00305, -0.01402
2.26, -0.93915, 0.26664, -5.89378E-4, -0.01198
2.2645, -0.93948, 0.26572, -0.00122, -0.01014
2.269, -0.94368, 0.26587, -0.00251, -0.00938
2.2735, -0.94679, 0.26881, -0.00426, -0.0084
2.278, -0.94693, 0.27293, -0.00208, -0.00619
2.2825, -0.94805, 0.27013, -0.00195, -0.00916
2.287, -0.95191, 0.26929, -0.00235, -0.01097
2.2915, -0.95859, 0.27096, -0.00536, -0.01454
2.296, -0.96121, 0.27512, -0.01003, -0.015
2.3005, -0.96127, 0.27831, -0.01353, -0.01513
2.305, -0.96448, 0.27926, -0.0181, -0.01517
2.3095, -0.97217, 0.28611, -0.0252, -0.01287
2.314, -0.97468, 0.29647, -0.02975, -0.00866
2.3185, -0.97419, 0.30304, -0.03328, -0.00304
2.323, -0.97769, 0.30893, -0.03605, 3.79302E-4
2.3275, -0.98597, 0.32128, -0.03841, 0.01045
2.332, -0.97471, 0.3331, -0.03574, 0.01782
2.3365, -0.96286, 0.3423, -0.0331, 0.02487
2.341, -0.94922, 0.34676, -0.02795, 0.03074
2.3455, -0.9429, 0.348, -0.02183, 0.03295
2.35, -0.92988, 0.35469, -0.01825, 0.03572
2.3545, -0.91939, 0.35144, -0.01214, 0.03802
2.359, -0.91576, 0.34528, -0.00702, 0.03825
2.3635, -0.91026, 0.34156, -0.00229, 0.03843
2.368, -0.90863, 0.33759, 0.00318, 0.03702
2.3725, -0.90634, 0.33489, 0.00533, 0.03614
2.377, -0.90591, 0.32657, 0.01004, 0.034
2.3815, -0.91061, 0.32882, 0.01242, 0.03146
2.386, -0.90699, 0.33051, 0.01541, 0.03006
2.3905, -0.90313, 0.32733, 0.01879, 0.02829
2.395, -0.90604, 0.32444, 0.02218, 0.02525
2.3995, -0.90466, 0.32413, 0.02518, 0.02309
2.404, -0.90438, 0.31847, 0.02809, 0.01797
2.4085, -0.90325, 0.31116, 0.02882, 0.01224
2.413, -0.90827, 0.30612, 0.02925, 0.00601
2.4175, -0.91029, 0.30691, 0.02839, 6.061E-4
2.422, -0.90892, 0.30361, 0.02704, -0.00341
2.4265, -0.91004, 0.29907, 0.02515, -0.00956
2.431, -0.91554, 0.29439, 0.02218, -0.0155
2.4355, -0.92814, 0.29849, 0.01705, -0.02064
2.44, -0.9308, 0.29951, 0.00884, -0.02368
2.4445, -0.9327, 0.29823, 0.00272, -0.02496
2.449, -0.93779, 0.29885, -0.00503, -0.02559
2.4535, -0.94648, 0.30306, -0.01273, -0.02431
2.458, -0.94958, 0.31363, -0.02003, -0.01878
2.4625, -0.94708, 0.31677, -0.02433, -0.01422
2.467, -0.95033, 0.32015, -0.02938, -0.00787
2.4715, -0.95545, 0.3299, -0.03134, -7.90177E-4
2.476, -0.95631, 0.33888, -0.03245, 0.00567
2.4805, -0.95049, 0.34834, -0.03073, 0.01246
2.485, -0.94526, 0.35185, -0.02821, 0.01763
2.4895, -0.94405, 0.35993, -0.02541, 0.0213
2.494, -0.93531, 0.36818, -0.02265, 0.02407
2.4985, -0.92667, 0.37366, -0.02307, 0.02726
2.503, -0.9194, 0.37424, -0.02115, 0.03124
2.5075, -0.91633, 0.37987, -0.01893, 0.03641
2.512, -0.90911, 0.38672, -0.01401, 0.04137
2.5165, -0.90048, 0.38754, -0.00699, 0.04622
2.521, -0.88887, 0.38559, 1.16919E-4, 0.04897
2.5255, -0.87677, 0.3821, 0.01018, 0.04902
2.53, -0.86827, 0.37436, 0.01923, 0.04624
2.5345, -0.8609, 0.36679, 0.02759, 0.04102
2.539, -0.85737, 0.35863, 0.03471, 0.0339
2.5435, -0.85522, 0.35061, 0.03999, 0.02554
2.548, -0.85939, 0.3399, 0.04167, 0.01361
2.5525, -0.86365, 0.32846, 0.03892, 0.00349
2.557, -0.87403, 0.32266, 0.03425, -0.0046
2.5615, -0.88581, 0.31963, 0.02806, -0.01149
2.566, -0.89215, 0.31963, 0.02003, -0.01519
2.5705, -0.89719, 0.32284, 0.01122, -0.01541
2.575, -0.90051, 0.3277, 0.00606, -0.01188
2.5795, -0.90237, 0.33584, 0.00215, -0.00969
2.584, -0.90193, 0.33989, -3.2685E-4, -0.00684
2.5885, -0.89816, 0.34607, -0.0026, -0.00372
2.593, -0.89857, 0.34422, -0.00237, 1.70073E-4
2.5975, -0.89633, 0.34694, -0.00157, 0.00274
2.602, -0.89305, 0.3469, 7.43883E-4, 0.00408
2.6065, -0.89234, 0.34395, 0.00279, 0.0038
2.611, -0.89072, 0.34123, 0.00432, 0.00213
2.6155, -0.89017, 0.33772, 0.00496, 3.62569E-4
2.62, -0.89129, 0.33775, 0.00454, -0.00261
2.6245, -0.89175, 0.33534, 0.00285, -0.0054
2.629, -0.89754, 0.33003, -2.89088E-4, -0.00876
2.6335, -0.90663, 0.33066, -0.00657, -0.01
2.638, -0.91348, 0.33305, -0.01235, -0.01073
2.6425, -0.91507, 0.34146, -0.01888, -0.00686
2.647, -0.9156, 0.34732, -0.02421, 6.93711E-4
2.6515, -0.9142, 0.35545, -0.02688, 0.00793
2.656, -0.90758, 0.36094, -0.0254, 0.01783
2.6605, -0.90148, 0.36182, -0.01981, 0.02438
2.665, -0.89632, 0.36238, -0.01419, 0.02964
2.6695, -0.89038, 0.35961, -0.00676, 0.03128
2.674, -0.88642, 0.35714, -6.34275E-4, 0.03068
2.6785, -0.88228, 0.35164, 0.00479, 0.02845
2.683, -0.87969, 0.34571, 0.00805, 0.0233
2.6875, -0.88433, 0.34516, 0.0091, 0.02179
2.692, -0.88442, 0.34876, 0.00915, 0.01914
2.6965, -0.88226, 0.35068, 0.01008, 0.01879
2.701, -0.88314, 0.34888, 0.0102, 0.01698
2.7055, -0.88255, 0.35195, 0.01079, 0.01744
2.71, -0.88044, 0.35388, 0.01259, 0.01648
2.7145, -0.87735, 0.35626, 0.01493, 0.01654
2.719, -0.86758, 0.35154, 0.01709, 0.01513
2.7235, -0.86623, 0.34555, 0.019, 0.01332
2.728, -0.86525, 0.34253, 0.02151, 0.011
2.7325, -0.86238, 0.33846, 0.02468, 0.0071
2.737, -0.86568, 0.33606, 0.02685, 0.00156
2.7415, -0.86973, 0.32825, 0.02742, -0.00558
2.746, -0.87714, 0.3246, 0.02538, -0.01365
2.7505, -0.88437, 0.3217, 0.02029, -0.02099
2.755, -0.8959, 0.31933, 0.01078, -0.02702
2.7595, -0.90629, 0.31995, 0.00145, -0.02895
2.764, -0.91599, 0.32435, -0.00888, -0.02708
2.7685, -0.92394, 0.33232, -0.01612, -0.02342
2.773, -0.92813, 0.3402, -0.02453, -0.0183
2.7775, -0.93325, 0.35004, -0.02975, -0.00978
2.782, -0.93044, 0.3634, -0.03278, -3.41779E-4
2.7865, -0.925, 0.36831, -0.03124, 0.00902
2.791, -0.92741, 0.37025, -0.02776, 0.01542
2.7955, -0.92214, 0.37503, -0.02244, 0.02034
2.8, -0.9147, 0.37981, -0.01677, 0.02275
2.8045, -0.90313, 0.37827, -0.01427, 0.02318
2.809, -0.9002, 0.37244, -0.00995, 0.02479
2.8135, -0.90458, 0.37257, -0.00709, 0.02478
2.818, -0.90156, 0.37681, -0.00405, 0.02421
2.8225, -0.90064, 0.37984, -0.00225, 0.02352
2.827, -0.89512, 0.37506, -9.73824E-4, 0.02382
2.8315, -0.89936, 0.37112, 8.22696E-4, 0.02324
2.836, -0.90456, 0.37601, 0.00307, 0.02361
2.8405, -0.89926, 0.38345, 0.0046, 0.02327
2.845, -0.88941, 0.38184, 0.00709, 0.02317
2.8495, -0.88705, 0.37454, 0.00965, 0.02219
2.854, -0.89139, 0.37287, 0.01253, 0.02112
2.8585, -0.89326, 0.37541, 0.01461, 0.01908
2.863, -0.88918, 0.37679, 0.01714, 0.01622
2.8675, -0.89031, 0.37041, 0.01834, 0.01237
2.872, -0.89835, 0.37045, 0.01849, 0.00733
2.8765, -0.89775, 0.36963, 0.01615, 0.0043
2.881, -0.89689, 0.36791, 0.01525, 0.00186
2.8855, -0.89694, 0.36637, 0.01345, -8.96999E-4
2.89, -0.90072, 0.36689, 0.01041, -0.00341
2.8945, -0.90379, 0.37197, 0.00776, -0.00535
2.899, -0.90402, 0.37435, 0.00347, -0.00697
2.9035, -0.90598, 0.3774, -4.11905E-4, -0.00716
2.908, -0.909, 0.38219, -0.00548, -0.00721
2.9125, -0.90488, 0.38639, -0.01121, -0.00454
2.917, -0.9026, 0.38662, -0.01575, 8.40269E-4
2.9215, -0.90639, 0.38787, -0.01623, 0.00563
2.926, -0.90663, 0.39392, -0.01697, 0.01102
2.9305, -0.90377, 0.40591, -0.01556, 0.01735
2.935, -0.89429, 0.40572, -0.0115, 0.02258
2.9395, -0.89447, 0.39997, -0.0063, 0.02463
2.944, -0.89962, 0.39969, -0.00119, 0.02574
2.9485, -0.90154, 0.40181, 0.00247, 0.02405
2.953, -0.89969, 0.404, 0.00546, 0.02234
2.9575, -0.89844, 0.40297, 0.00635, 0.02065
2.962, -0.9037, 0.40511, 0.00758, 0.01768
2.9665, -0.9003, 0.41581, 0.00598, 0.01671
2.971, -0.89174, 0.41787, 0.00639, 0.01752
2.9755, -0.88585, 0.41477, 0.0072, 0.01803
2.98, -0.88699, 0.41099, 0.00906, 0.01759
2.9845, -0.89229, 0.41179, 0.00896, 0.0162
2.989, -0.88542, 0.41207, 0.01031, 0.01741
2.9935, -0.88138, 0.40599, 0.01262, 0.01666
2.998, -0.88375, 0.40305, 0.01333, 0.01426
3.0025, -0.8821, 0.40378, 0.01343, 0.01322
3.007, -0.88033, 0.40468, 0.01266, 0.01267
3.0115, -0.87777, 0.40222, 0.01366, 0.01108
3.016, -0.88048, 0.39933, 0.01447, 0.00978
3.0205, -0.88265, 0.40198, 0.01393, 0.00871
3.025, -0.87967, 0.40193, 0.01294, 0.00713
3.0295, -0.88385, 0.39915, 0.01229, 0.00646
3.034, -0.88823, 0.40346, 0.01131, 0.00582
3.0385, -0.88312, 0.40944, 0.01138, 0.00577
3.043, -0.88235, 0.40797, 0.01047, 0.00583
3.0475, -0.88168, 0.40693, 0.01068, 0.00561
3.052, -0.89218, 0.40682, 0.01042, 0.00514
3.0565, -0.89093, 0.41552, 0.01024, 0.00487
3.061, -0.88386, 0.41899, 0.00977, 0.00481
3.0655, -0.88008, 0.41609, 0.0091, 0.00508
3.07, -0.88192, 0.41371, 0.00983, 0.00446
3.0745, -0.8817, 0.41623, 0.00883, 0.00362
3.079, -0.8826, 0.41909, 0.0086, 0.00253
3.0835, -0.88055, 0.41733, 0.00769, 0.00198
3.088, -0.87898, 0.41619, 0.00647, 0.00249
3.0925, -0.88176, 0.41985, 0.00558, 0.00233
3.097, -0.8804, 0.42228, 0.00421, 0.00373
3.1015, -0.8773, 0.42123, 0.00349, 0.00494
3.106, -0.87676, 0.41589, 0.00359, 0.00528
3.1105, -0.87858, 0.41412, 0.00446, 0.00605
3.115, -0.88168, 0.4158, 0.00529, 0.00659
3.1195, -0.88076, 0.41661, 0.00484, 0.00547
3.124, -0.88322, 0.41877, 0.00453, 0.0059
3.1285, -0.88515, 0.42412, 0.00403, 0.00602
3.133, -0.8868, 0.4304, 0.00305, 0.00562
3.1375, -0.8867, 0.43567, 0.00165, 0.00788
3.142, -0.88116, 0.43865, 0.00198, 0.00931
3.1465, -0.87846, 0.44042, 0.00205, 0.01168
3.151, -0.87314, 0.44304, 0.00284, 0.01445
3.1555, -0.86691, 0.44456, 0.00559, 0.01672
3.16, -0.86205, 0.44502, 0.00888, 0.01883
3.1645, -0.85725, 0.44427, 0.01295, 0.01902
3.169, -0.85386, 0.44527, 0.01655, 0.01707
3.1735, -0.85311, 0.44058, 0.01975, 0.01512
