# Impedance of a single-ring metamaterial absorber as a function of 
# frequency for different incidence angles theta at phi = 0 degree
# Size of the unit-cell (in the xy-plane) LUC = 20 mm. 
# Outer radius of the copper ring R = 5 mm, width = 0.1 mm
# FR4 thickness lz = 2 mm, eps_r = 4.2*(1+0.02i)
# first column, frequency [GHz]
# columns [2-13] are Re(Z) at theta = [0,5,10,..,55] degree
# columns [14-25] are Im(Z) at theta = [0,5,10,..,55] degree
# Impedances calculated from S11(TE,TE)
1,2.76237115473088E-005,2.75136492411088E-005,2.71354470349562E-005,2.66857563866022E-005,2.58911020510735E-005,2.42818369400698E-005,2.3967885883903E-005,2.30300304408213E-005,2.1723791259006E-005,2.03736888778919E-005,1.87381900532368E-005,1.73752142622737E-005,0.0422240476473725,0.0390273183142252,0.0294631245850549,0.013622893369311,-0.00838371909008487,-0.036433291436198,-0.0702844048360448,-0.109912225429017,-0.155245355148549,-0.206300258061698,-0.263233978408633,-0.326328835372778
1.01,2.75967587870021E-005,2.75204007103025E-005,2.77779751730682E-005,2.69560008646206E-005,2.61499614577283E-005,2.45356322165604E-005,2.4243745514699E-005,2.32754741291248E-005,2.19206076731327E-005,1.70007221375535E-005,1.89404869396817E-005,1.77575849202534E-005,0.0426521629885615,0.039422968544964,0.0297628798995259,0.0137642588276324,-0.00846270406970588,-0.0367940308252575,-0.0709852533542723,-0.111016063940593,-0.156819114456042,-0.2084182983632,-0.265985106431632,-0.3298199075671
1.02,2.75778896541878E-005,2.75478524026797E-005,2.84066632788491E-005,2.72301154026616E-005,2.64125764104593E-005,2.47920140428104E-005,2.45217880271484E-005,2.35243305737037E-005,2.21213468221546E-005,1.36590091167976E-005,1.91461499356058E-005,1.81421954276591E-005,0.0430804603172806,0.0398188145319014,0.0300628066462462,0.0139057842779194,-0.00854153798403778,-0.0371546584118843,-0.0716860358493492,-0.112120037579081,-0.158393511495865,-0.210538018818065,-0.268739905701175,-0.333318158741239
1.03,2.75672701809813E-005,2.75956001915706E-005,2.90215730111839E-005,2.75081408849102E-005,2.66789857143419E-005,2.5050999426967E-005,2.48020364364675E-005,2.37766372211316E-005,2.23260618656996E-005,1.03500475379577E-005,1.9355225162587E-005,1.85290283464639E-005,0.0435089417751808,0.0402148582000714,0.0303629071371572,0.0140474716361773,-0.00862021902734397,-0.0375151728628212,-0.0723867513493142,-0.113224147394118,-0.159968552655554,-0.212659437875051,-0.271498418965499,-0.336823679731295
1.04,2.75650647439758E-005,2.76632468732565E-005,2.96227867092663E-005,2.7790118890515E-005,2.69492287680092E-005,2.53126061883106E-005,2.50845155606409E-005,2.40324322848352E-005,2.25348063411845E-005,7.0753300450042E-006,1.95677595317453E-005,1.89180675299139E-005,0.0439376095148215,0.0406111014695554,0.0306631836861558,0.0141893228284709,-0.00869874538450012,-0.0378755728379413,-0.0730873988727727,-0.114328394426194,-0.161544244323906,-0.21478257403455,-0.274260689175809,-0.340336562027654
1.05,2.75714360141816E-005,2.77504020522029E-005,3.02104072635371E-005,2.80760917023203E-005,2.72233455701734E-005,2.55768529675306E-005,2.53692520428826E-005,2.42917547550675E-005,2.27476341667028E-005,3.83634370221561E-006,1.97838007569413E-005,1.93092981701706E-005,0.0443664656998242,0.0410075462563633,0.0309636386086836,0.0143313397910465,-0.00877711523088224,-0.0382358569901667,-0.0737879774287919,-0.115432779706523,-0.163120592890941,-0.216907445849001,-0.277026759488979,-0.343856897785162
1.06,2.75865449090675E-005,2.78566820244593E-005,3.07845579627942E-005,2.83661023160148E-005,2.75013767295711E-005,2.58437592413814E-005,2.56562743736695E-005,2.45546444089897E-005,2.29645996442324E-005,6.34569492924415E-007,2.00033973684709E-005,1.97027068434009E-005,0.0447955125050258,0.0414041944732905,0.0312642742213245,0.0144735244704522,-0.00885532673225546,-0.0385960239653871,-0.0744884860167968,-0.116537304256918,-0.164697604747867,-0.219034071923307,-0.279796673270278,-0.347384779833421
1.07,2.76105505450795E-005,2.79817096594369E-005,3.13453823180401E-005,2.86601944503354E-005,2.77833634711649E-005,2.6113345333206E-005,2.59456129123135E-005,2.48211418213781E-005,2.31857574623981E-005,-2.52851818347992E-006,2.0226598726344E-005,2.00982815580262E-005,0.0452247521166341,0.041801048030755,0.0315650928414117,0.0146158788236606,-0.00893337804466068,-0.0389560724023781,-0.0751889236264638,-0.11764196908966,-0.166275286287041,-0.221162470915252,-0.282570474096117,-0.350920301687229
1.08,2.76436101919899E-005,2.81251142817291E-005,3.1893043860616E-005,2.89584125551665E-005,2.80693476454404E-005,2.6385632425031E-005,2.62372999074973E-005,2.50912883748841E-005,2.34111627011996E-005,-5.65145201422097E-006,2.04534550343128E-005,2.04960118011298E-005,0.0456541867323837,0.0421981088376138,0.0318660967866444,0.0147584048181923,-0.00901126731430153,-0.0393160009327187,-0.0758892892376152,-0.11874677520737,-0.167853643901932,-0.223292661535903,-0.285348205756827,-0.354463557557151
1.09,2.76858792291963E-005,2.8286531553646E-005,3.24277259183113E-005,2.92608018220301E-005,2.83593717376463E-005,2.66606425704254E-005,2.65313695176453E-005,2.53651262705796E-005,2.36408708354054E-005,-8.73277227860801E-006,2.06840173536397E-005,2.08958885880357E-005,0.0460838185616963,0.0425953788019636,0.0321672883747179,0.0149011044322416,-0.0090889926774278,-0.0396758081807066,-0.0765895818201096,-0.119851723602874,-0.169432683987075,-0.225424662550029,-0.288129912259456,-0.358014642360237
